id,date,bank_category,bank_name,atms_crms_onsite,atms_crms_offsite,pos,micro_atms,bharat_qr,upi_qr,credit_cards,debit_cards,cc_pay_trns_at_pos_vol,cc_pay_trns_at_pos_val,cc_pay_trns_online_vol,cc_pay_trns_online_val,cc_pay_trns_other_vol,cc_pay_trns_other_val,cc_cash_withdraw_atm_val,cc_cash_withdraw_atm_vol,dc_pay_trns_at_pos_vol,dc_pay_trns_at_pos_val,dc_pay_trns_online_vol,dc_pay_trns_online_val,dc_pay_trns_other_vol,dc_pay_trns_other_val,dc_cash_withdraw_atm_val,dc_cash_withdraw_atm_vol,dc_cash_withdraw_pos_val,dc_cash_withdraw_pos_vol,year,total_atms,onsite_atm_share_pct,offsite_atm_share_pct,trans_per_atm,total_digital_infra,digital_vs_real_ratio,dc_pos_avg,dc_online_avg,cc_pos_avg,cc_online_avg,monthly_spend_per_debit_card,monthly_spend_per_credit_card,monthly_trans_per_debit_card,monthly_trans_per_credit_card,cc_atm_avg_withdrawal_amt,atm_infra_investment,pos_infra_investment,qr_infra_investment,pos_gain,online_gain,atm_gain,roi_pos,roi_atm,roi_qr
702,2023-01-02,Small Finance Banks,Suryoday Small Finance Bank,0,0,0,67,0,0,0,560598,0,0,0,0,0,0,0,0,21886,27169,2451,5508,0,0,183418,510457,0,0,2023,0,0.0,0.0,0.0,67,0.0,1.2413871881568126,2.2472460220318236,0.0,0.0,0.3854722992233294,0.0,0.9539705814148463,0.0,0.0,0,0,0,27169,5508,183418,0.0,0.0,0.0
703,2023-01-02,Private Sector Banks,Tamilnad Mercantile Bank,482,667,0,0,0,0,40979,2173879,43145,194749,18294,103463,0,0,2502,9660,397251,870472,83965,175747,99,292,4758191,20209790,0,0,2023,1149,41.949521322889474,58.050478677110526,17597.432550043515,0,0.0,2.191239292034507,2.093098314774013,4.513825472244756,5.655570132283809,2.6702047354061564,7.338246418897484,9.518057352778145,1.7350106151931477,0.25900621118012424,287250000,0,0,1065221,279210,4760693,0.0,-98.34266562228025,0.0
704,2023-01-02,Public Sector Banks,Uco Bank,2199,217,10566,3568,1358,575707,0,12402099,0,0,0,0,0,0,0,0,1803263,3420674,400451,980375,882,14994,6776551,30547531,916,846,2023,2416,91.01821192052981,8.9817880794702,12643.845612582782,591199,40.82814489882553,1.8969357215225955,2.4481771802292913,0.0,0.0,0.9025496409922223,0.0,2.6409217504230535,0.0,0.0,604000000,105660000,173119500,3420674,980375,6776551,-96.76256483058869,-98.87805447019868,-99.4337004208076
705,2023-01-02,Small Finance Banks,Ujjivan Small Finance Bank,509,3,0,0,0,350707,0,8595110,0,0,0,0,0,0,0,0,266252,425840,103448,238528,0,0,3293661,14708693,119,106,2023,512,99.4140625,0.5859375,28727.916015625,350707,0.0,1.599387046857864,2.3057768154048413,0.0,0.0,0.46051161648891054,0.0,1.7543113468006808,0.0,0.0,128000000,0,105212100,425840,238528,3293661,0.0,-97.42682734375,-99.7732884335547
706,2023-01-02,Public Sector Banks,Union Bank Of India,8042,3190,40088,8017,47725,238298,633323,47402239,567176,2005751,367453,1432578,0,0,7613,64460,9090572,13727443,3910201,6601574,2684,10086,44685265,134862053,15572,15519,2023,11232,71.59900284900284,28.400997150997153,12012.688123219374,334128,5.945806049267228,1.51007472357075,1.688295307581375,3.5363820048803194,3.898670033990742,1.3720858206718884,5.441049827655083,3.1197055691820803,1.5775346860922468,0.11810425069810736,2808000000,400880000,85806900,15733194,8034152,44692878,-96.07533576132509,-98.40837329059829,-90.63693945358706
707,2023-01-02,Small Finance Banks,Unity Small Finance Bank,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,231,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57750000,0,0,0,0,0,0.0,-100.0,0.0
708,2023-01-02,Small Finance Banks,Utkarsh Small Finance Bank,276,7,0,533,0,15567,0,1533668,0,0,0,0,0,0,0,0,36164,61927,8869,21716,12,111,273384,1182166,0,0,2023,283,97.52650176678446,2.4734982332155475,4177.265017667844,16100,29.206378986866792,1.7123935405375512,2.4485285827038,0.0,0.0,0.23286526158203733,0.0,0.8001803519405765,0.0,0.0,70750000,0,4670100,61927,21716,273384,0.0,-99.61359151943464,-99.53499925055138
709,2023-01-02,Foreign Banks,Woori Bank,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,0,4076,12745,1421,4028,0,0,1016,6993,0,0,2023,0,0.0,0.0,0.0,0,0.0,3.1268400392541706,2.8346235045742434,0.0,0.0,18.530208333333334,0.0,13.010416666666666,0.0,0.0,0,0,0,12745,4028,1016,0.0,0.0,0.0
710,2023-01-02,Private Sector Banks,Yes Bank,1078,185,66743,73685,365610,138121613,1395685,4339149,1965411,6898875,854364,7343481,0,0,20075,91543,969888,2067286,411557,1242727,58,1120,2770767,12865624,564,561,2023,1263,85.35233570863025,14.647664291369756,10259.039588281868,138627651,986.1795582077648,2.1314687881487346,3.01957444533807,3.5101436798715384,8.595260334002838,1.4017642629925822,10.218946968692793,3.2835212618879877,2.0859420284663086,0.2192958500376872,315750000,667430000,41546166900,8966161,8586208,2790842,-98.65661402693917,-99.11612288202693,-99.97933333291452
711,2023-01-03,Small Finance Banks,Au Small Finance Bank,490,3,0,367,0,1006983,504543,2500440,697935,4292634,872812,6011721,1422,691,3657,20683,235946,572439,277392,777260,184,2921,1050964,6995371,592,592,2023,493,99.39148073022312,0.6085192697768762,14231.346855983773,1007350,2743.8228882833787,2.4261441177218517,2.8020274557305185,6.150478196393647,6.887761625642177,0.9615011757930604,20.431763001369557,3.0032654252851496,3.1570193224363434,0.1768118744862931,123250000,0,302094900,4865073,6788981,1054621,0.0,-99.14432373225152,-97.75269923457827
